year,match_id,match_date,stage,group_stage,knockout_stage,home_team,away_team,home_score,away_score,total_goals,stadium_name,city_name,country_name,host_country,is_host_match,extra_time,penalty_shootout,attendance,is_partial_edition
1930,M-1930-01,1930-07-13,Group Stage,1,0,France,Mexico,4,1,5,Estadio Pocitos,Montevideo,Uruguay,Uruguay,0,0,0,4444.0,0
1930,M-1930-02,1930-07-13,Group Stage,1,0,United States,Belgium,3,0,3,Estadio Gran Parque Central,Montevideo,Uruguay,Uruguay,0,0,0,18346.0,0
1930,M-1930-03,1930-07-14,Group Stage,1,0,Yugoslavia,Brazil,2,1,3,Estadio Gran Parque Central,Montevideo,Uruguay,Uruguay,0,0,0,24059.0,0
1930,M-1930-04,1930-07-14,Group Stage,1,0,Romania,Peru,3,1,4,Estadio Pocitos,Montevideo,Uruguay,Uruguay,0,0,0,2549.0,0
1930,M-1930-05,1930-07-15,Group Stage,1,0,Argentina,France,1,0,1,Estadio Gran Parque Central,Montevideo,Uruguay,Uruguay,0,0,0,23409.0,0
1930,M-1930-06,1930-07-16,Group Stage,1,0,Chile,Mexico,3,0,3,Estadio Gran Parque Central,Montevideo,Uruguay,Uruguay,0,0,0,9249.0,0
1930,M-1930-07,1930-07-17,Group Stage,1,0,Yugoslavia,Bolivia,4,0,4,Estadio Gran Parque Central,Montevideo,Uruguay,Uruguay,0,0,0,18306.0,0
1930,M-1930-08,1930-07-17,Group Stage,1,0,United States,Paraguay,3,0,3,Estadio Gran Parque Central,Montevideo,Uruguay,Uruguay,0,0,0,18306.0,0
1930,M-1930-09,1930-07-18,Group Stage,1,0,Uruguay,Peru,1,0,1,Estadio Centenario,Montevideo,Uruguay,Uruguay,1,0,0,57735.0,0
1930,M-1930-10,1930-07-19,Group Stage,1,0,Chile,France,1,0,1,Estadio Centenario,Montevideo,Uruguay,Uruguay,0,0,0,2000.0,0
1930,M-1930-11,1930-07-19,Group Stage,1,0,Argentina,Mexico,6,3,9,Estadio Centenario,Montevideo,Uruguay,Uruguay,0,0,0,42100.0,0
1930,M-1930-12,1930-07-20,Group Stage,1,0,Brazil,Bolivia,4,0,4,Estadio Centenario,Montevideo,Uruguay,Uruguay,0,0,0,25466.0,0
1930,M-1930-13,1930-07-20,Group Stage,1,0,Paraguay,Belgium,1,0,1,Estadio Centenario,Montevideo,Uruguay,Uruguay,0,0,0,12000.0,0
1930,M-1930-14,1930-07-21,Group Stage,1,0,Uruguay,Romania,4,0,4,Estadio Centenario,Montevideo,Uruguay,Uruguay,1,0,0,70022.0,0
1930,M-1930-15,1930-07-22,Group Stage,1,0,Argentina,Chile,3,1,4,Estadio Centenario,Montevideo,Uruguay,Uruguay,0,0,0,41459.0,0
1930,M-1930-16,1930-07-26,Semi-Finals,0,1,Argentina,United States,6,1,7,Estadio Centenario,Montevideo,Uruguay,Uruguay,0,0,0,72886.0,0
1930,M-1930-17,1930-07-27,Semi-Finals,0,1,Uruguay,Yugoslavia,6,1,7,Estadio Centenario,Montevideo,Uruguay,Uruguay,1,0,0,79867.0,0
1930,M-1930-18,1930-07-30,Final,0,1,Uruguay,Argentina,4,2,6,Estadio Centenario,Montevideo,Uruguay,Uruguay,1,0,0,68346.0,0
1934,M-1934-01,1934-05-27,Round Of 16,0,1,Austria,France,3,2,5,Stadio Benito Mussolini,Turin,Italy,Italy,0,1,0,16000.0,0
1934,M-1934-02,1934-05-27,Round Of 16,0,1,Czechoslovakia,Romania,2,1,3,Stadio Littorio,Trieste,Italy,Italy,0,0,0,9000.0,0
1934,M-1934-03,1934-05-27,Round Of 16,0,1,Germany,Belgium,5,2,7,Stadio Giovanni Berta,Florence,Italy,Italy,0,0,0,8000.0,0
1934,M-1934-04,1934-05-27,Round Of 16,0,1,Hungary,Egypt,4,2,6,Stadio Giorgio Ascarelli,Naples,Italy,Italy,0,0,0,9000.0,0
1934,M-1934-05,1934-05-27,Round Of 16,0,1,Italy,United States,7,1,8,Stadio Nazionale PNF,Rome,Italy,Italy,1,0,0,25000.0,0
1934,M-1934-06,1934-05-27,Round Of 16,0,1,Spain,Brazil,3,1,4,Stadio Luigi Ferraris,Genoa,Italy,Italy,0,0,0,21000.0,0
1934,M-1934-07,1934-05-27,Round Of 16,0,1,Sweden,Argentina,3,2,5,Stadio Renato Dall'Ara,Bologna,Italy,Italy,0,0,0,14000.0,0
1934,M-1934-08,1934-05-27,Round Of 16,0,1,Switzerland,Netherlands,3,2,5,San Siro,Milan,Italy,Italy,0,0,0,33000.0,0
1934,M-1934-09,1934-05-31,Quarter-Finals,0,1,Austria,Hungary,2,1,3,Stadio Renato Dall'Ara,Bologna,Italy,Italy,0,0,0,23000.0,0
1934,M-1934-10,1934-05-31,Quarter-Finals,0,1,Czechoslovakia,Switzerland,3,2,5,Stadio Benito Mussolini,Turin,Italy,Italy,0,0,0,12000.0,0
1934,M-1934-11,1934-05-31,Quarter-Finals,0,1,Germany,Sweden,2,1,3,San Siro,Milan,Italy,Italy,0,0,0,3000.0,0
1934,M-1934-12,1934-05-31,Quarter-Finals,0,1,Italy,Spain,1,1,2,Stadio Giovanni Berta,Florence,Italy,Italy,1,1,0,43000.0,0
1934,M-1934-13,1934-06-01,Quarter-Finals,0,1,Italy,Spain,1,0,1,Stadio Giovanni Berta,Florence,Italy,Italy,1,0,0,43000.0,0
1934,M-1934-14,1934-06-03,Semi-Finals,0,1,Czechoslovakia,Germany,3,1,4,Stadio Nazionale PNF,Rome,Italy,Italy,0,0,0,15000.0,0
1934,M-1934-15,1934-06-03,Semi-Finals,0,1,Italy,Austria,1,0,1,San Siro,Milan,Italy,Italy,1,0,0,35000.0,0
1934,M-1934-16,1934-06-07,Third-Place Match,0,1,Germany,Austria,3,2,5,Stadio Giorgio Ascarelli,Naples,Italy,Italy,0,0,0,7000.0,0
1934,M-1934-17,1934-06-10,Final,0,1,Italy,Czechoslovakia,2,1,3,Stadio Nazionale PNF,Rome,Italy,Italy,1,1,0,55000.0,0
1938,M-1938-01,1938-06-04,Round Of 16,0,1,Switzerland,Germany,1,1,2,Parc des Princes,Paris,France,France,0,1,0,20025.0,0
1938,M-1938-02,1938-06-05,Round Of 16,0,1,Cuba,Romania,3,3,6,Stade du T.O.E.C.,Toulouse,France,France,0,1,0,8000.0,0
1938,M-1938-03,1938-06-05,Round Of 16,0,1,France,Belgium,3,1,4,Stade Olympique de Colombes,Paris,France,France,1,0,0,30454.0,0
1938,M-1938-04,1938-06-05,Round Of 16,0,1,Hungary,Dutch East Indies,6,0,6,Vélodrome Municipal,Reims,France,France,0,0,0,9000.0,0
1938,M-1938-05,1938-06-05,Round Of 16,0,1,Italy,Norway,2,1,3,Stade Vélodrome,Marseille,France,France,0,1,0,19000.0,0
1938,M-1938-06,1938-06-05,Round Of 16,0,1,Brazil,Poland,6,5,11,Stade de la Meinau,Strasbourg,France,France,0,1,0,13452.0,0
1938,M-1938-07,1938-06-05,Round Of 16,0,1,Czechoslovakia,Netherlands,3,0,3,Stade Jules Deschaseaux,Le Havre,France,France,0,1,0,11000.0,0
1938,M-1938-08,1938-06-09,Round Of 16,0,1,Cuba,Romania,2,1,3,Stade du T.O.E.C.,Toulouse,France,France,0,0,0,8000.0,0
1938,M-1938-09,1938-06-09,Round Of 16,0,1,Switzerland,Germany,4,2,6,Parc des Princes,Paris,France,France,0,0,0,20025.0,0
1938,M-1938-10,1938-06-12,Quarter-Finals,0,1,Brazil,Czechoslovakia,1,1,2,Stade du Parc Lescure,Bordeaux,France,France,0,1,0,18141.0,0
1938,M-1938-11,1938-06-12,Quarter-Finals,0,1,Hungary,Switzerland,2,0,2,Stade Victor Boucquey,Lille,France,France,0,0,0,15000.0,0
1938,M-1938-12,1938-06-12,Quarter-Finals,0,1,Italy,France,3,1,4,Stade Olympique de Colombes,Paris,France,France,1,0,0,58455.0,0
1938,M-1938-13,1938-06-12,Quarter-Finals,0,1,Sweden,Cuba,8,0,8,Stade du Fort Carré,Antibes,France,France,0,0,0,7000.0,0
1938,M-1938-14,1938-06-14,Quarter-Finals,0,1,Brazil,Czechoslovakia,2,1,3,Stade du Parc Lescure,Bordeaux,France,France,0,0,0,18141.0,0
1938,M-1938-15,1938-06-16,Semi-Finals,0,1,Hungary,Sweden,5,1,6,Parc des Princes,Paris,France,France,0,0,0,20000.0,0
1938,M-1938-16,1938-06-16,Semi-Finals,0,1,Italy,Brazil,2,1,3,Stade Vélodrome,Marseille,France,France,0,0,0,33000.0,0
1938,M-1938-17,1938-06-19,Third-Place Match,0,1,Brazil,Sweden,4,2,6,Stade du Parc Lescure,Bordeaux,France,France,0,0,0,12000.0,0
1938,M-1938-18,1938-06-19,Final,0,1,Italy,Hungary,4,2,6,Stade Olympique de Colombes,Paris,France,France,0,0,0,45000.0,0
1950,M-1950-01,1950-06-24,Group Stage,1,0,Brazil,Mexico,4,0,4,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,1,0,0,81649.0,0
1950,M-1950-02,1950-06-25,Group Stage,1,0,Yugoslavia,Switzerland,3,0,3,Estádio Independência,Belo Horizonte,Brazil,Brazil,0,0,0,7336.0,0
1950,M-1950-03,1950-06-25,Group Stage,1,0,England,Chile,2,0,2,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,0,0,0,29703.0,0
1950,M-1950-04,1950-06-25,Group Stage,1,0,Spain,United States,3,1,4,Estádio Vila Capanema,Curitiba,Brazil,Brazil,0,0,0,9511.0,0
1950,M-1950-05,1950-06-25,Group Stage,1,0,Sweden,Italy,3,2,5,Estádio do Pacaembu,São Paulo,Brazil,Brazil,0,0,0,36502.0,0
1950,M-1950-06,1950-06-28,Group Stage,1,0,Brazil,Switzerland,2,2,4,Estádio do Pacaembu,São Paulo,Brazil,Brazil,1,0,0,42032.0,0
1950,M-1950-07,1950-06-28,Group Stage,1,0,Yugoslavia,Mexico,4,1,5,Estádio dos Eucaliptos,Porto Alegre,Brazil,Brazil,0,0,0,11078.0,0
1950,M-1950-08,1950-06-29,Group Stage,1,0,Spain,Chile,2,0,2,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,0,0,0,19790.0,0
1950,M-1950-09,1950-06-29,Group Stage,1,0,United States,England,1,0,1,Estádio Independência,Belo Horizonte,Brazil,Brazil,0,0,0,10151.0,0
1950,M-1950-10,1950-06-29,Group Stage,1,0,Sweden,Paraguay,2,2,4,Estádio Vila Capanema,Curitiba,Brazil,Brazil,0,0,0,7903.0,0
1950,M-1950-11,1950-07-01,Group Stage,1,0,Brazil,Yugoslavia,2,0,2,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,1,0,0,142429.0,0
1950,M-1950-12,1950-07-02,Group Stage,1,0,Chile,United States,5,2,7,Estádio Ilha do Retiro,Recife,Brazil,Brazil,0,0,0,8501.0,0
1950,M-1950-13,1950-07-02,Group Stage,1,0,Spain,England,1,0,1,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,0,0,0,74462.0,0
1950,M-1950-14,1950-07-02,Group Stage,1,0,Italy,Paraguay,2,0,2,Estádio do Pacaembu,São Paulo,Brazil,Brazil,0,0,0,25811.0,0
1950,M-1950-15,1950-07-02,Group Stage,1,0,Uruguay,Bolivia,8,0,8,Estádio Independência,Belo Horizonte,Brazil,Brazil,0,0,0,5284.0,0
1950,M-1950-16,1950-07-02,Group Stage,1,0,Switzerland,Mexico,2,1,3,Estádio dos Eucaliptos,Porto Alegre,Brazil,Brazil,0,0,0,3580.0,0
1950,M-1950-17,1950-07-09,Final Round,1,0,Brazil,Sweden,7,1,8,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,1,0,0,138886.0,0
1950,M-1950-18,1950-07-09,Final Round,1,0,Uruguay,Spain,2,2,4,Estádio do Pacaembu,São Paulo,Brazil,Brazil,0,0,0,44802.0,0
1950,M-1950-19,1950-07-13,Final Round,1,0,Brazil,Spain,6,1,7,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,1,0,0,152772.0,0
1950,M-1950-20,1950-07-13,Final Round,1,0,Uruguay,Sweden,3,2,5,Estádio do Pacaembu,São Paulo,Brazil,Brazil,0,0,0,7987.0,0
1950,M-1950-21,1950-07-16,Final Round,1,0,Sweden,Spain,3,1,4,Estádio do Pacaembu,São Paulo,Brazil,Brazil,0,0,0,11227.0,0
1950,M-1950-22,1950-07-16,Final Round,1,0,Uruguay,Brazil,2,1,3,Estádio do Maracanã,Rio de Janeiro,Brazil,Brazil,1,0,0,173850.0,0
1954,M-1954-01,1954-06-16,Group Stage,1,0,Brazil,Mexico,5,0,5,Charmilles Stadium,Geneva,Switzerland,Switzerland,0,0,0,13470.0,0
1954,M-1954-02,1954-06-16,Group Stage,1,0,Yugoslavia,France,1,0,1,Stade Olympique de la Pontaise,Lausanne,Switzerland,Switzerland,0,0,0,16000.0,0
1954,M-1954-03,1954-06-16,Group Stage,1,0,Austria,Scotland,1,0,1,Hardturm Stadium,Zürich,Switzerland,Switzerland,0,0,0,25000.0,0
1954,M-1954-04,1954-06-16,Group Stage,1,0,Uruguay,Czechoslovakia,2,0,2,Wankdorf Stadium,Bern,Switzerland,Switzerland,0,0,0,20500.0,0
1954,M-1954-05,1954-06-17,Group Stage,1,0,Switzerland,Italy,2,1,3,Stade Olympique de la Pontaise,Lausanne,Switzerland,Switzerland,1,0,0,30000.0,0
1954,M-1954-06,1954-06-17,Group Stage,1,0,Hungary,South Korea,9,0,9,Hardturm Stadium,Zürich,Switzerland,Switzerland,0,0,0,13000.0,0
1954,M-1954-07,1954-06-17,Group Stage,1,0,West Germany,Turkey,4,1,5,Wankdorf Stadium,Bern,Switzerland,Switzerland,0,0,0,,0
1954,M-1954-08,1954-06-17,Group Stage,1,0,England,Belgium,4,4,8,St. Jakob Stadium,Basel,Switzerland,Switzerland,0,1,0,14000.0,0
1954,M-1954-09,1954-06-19,Group Stage,1,0,Uruguay,Scotland,7,0,7,St. Jakob Stadium,Basel,Switzerland,Switzerland,0,0,0,34000.0,0
1954,M-1954-10,1954-06-19,Group Stage,1,0,Brazil,Yugoslavia,1,1,2,Stade Olympique de la Pontaise,Lausanne,Switzerland,Switzerland,0,1,0,24637.0,0
1954,M-1954-11,1954-06-19,Group Stage,1,0,Austria,Czechoslovakia,5,0,5,Hardturm Stadium,Zürich,Switzerland,Switzerland,0,0,0,26000.0,0
1954,M-1954-12,1954-06-19,Group Stage,1,0,France,Mexico,3,2,5,Charmilles Stadium,Geneva,Switzerland,Switzerland,0,0,0,19000.0,0
1954,M-1954-13,1954-06-20,Group Stage,1,0,Hungary,West Germany,8,3,11,St. Jakob Stadium,Basel,Switzerland,Switzerland,0,0,0,,0
1954,M-1954-14,1954-06-20,Group Stage,1,0,Turkey,South Korea,7,0,7,Charmilles Stadium,Geneva,Switzerland,Switzerland,0,0,0,4000.0,0
1954,M-1954-15,1954-06-20,Group Stage,1,0,Italy,Belgium,4,1,5,Cornaredo Stadium,Lugano,Switzerland,Switzerland,0,0,0,24000.0,0
1954,M-1954-16,1954-06-20,Group Stage,1,0,England,Switzerland,2,0,2,Wankdorf Stadium,Bern,Switzerland,Switzerland,1,0,0,,0
1954,M-1954-17,1954-06-23,Group Stage,1,0,West Germany,Turkey,7,2,9,Hardturm Stadium,Zürich,Switzerland,Switzerland,0,0,0,,0
1954,M-1954-18,1954-06-23,Group Stage,1,0,Switzerland,Italy,4,1,5,St. Jakob Stadium,Basel,Switzerland,Switzerland,1,0,0,30000.0,0
1954,M-1954-19,1954-06-26,Quarter-Finals,0,1,Austria,Switzerland,7,5,12,Stade Olympique de la Pontaise,Lausanne,Switzerland,Switzerland,1,0,0,,0
1954,M-1954-20,1954-06-26,Quarter-Finals,0,1,Uruguay,England,4,2,6,St. Jakob Stadium,Basel,Switzerland,Switzerland,0,0,0,28000.0,0
1954,M-1954-21,1954-06-27,Quarter-Finals,0,1,Hungary,Brazil,4,2,6,Wankdorf Stadium,Bern,Switzerland,Switzerland,0,0,0,40000.0,0
1954,M-1954-22,1954-06-27,Quarter-Finals,0,1,West Germany,Yugoslavia,2,0,2,Charmilles Stadium,Geneva,Switzerland,Switzerland,0,0,0,,0
1954,M-1954-23,1954-06-30,Semi-Finals,0,1,Hungary,Uruguay,4,2,6,Stade Olympique de la Pontaise,Lausanne,Switzerland,Switzerland,0,1,0,45000.0,0
1954,M-1954-24,1954-06-30,Semi-Finals,0,1,West Germany,Austria,6,1,7,St. Jakob Stadium,Basel,Switzerland,Switzerland,0,0,0,,0
1954,M-1954-25,1954-07-03,Third-Place Match,0,1,Austria,Uruguay,3,1,4,Hardturm Stadium,Zürich,Switzerland,Switzerland,0,0,0,32000.0,0
1954,M-1954-26,1954-07-04,Final,0,1,West Germany,Hungary,3,2,5,Wankdorf Stadium,Bern,Switzerland,Switzerland,0,0,0,,0
1958,M-1958-01,1958-06-08,Group Stage,1,0,Sweden,Mexico,3,0,3,Råsunda Stadium,Solna,Sweden,Sweden,1,0,0,34107.0,0
1958,M-1958-02,1958-06-08,Group Stage,1,0,Argentina,West Germany,1,3,4,Malmö Stadion,Malmö,Sweden,Sweden,0,0,0,31156.0,0
1958,M-1958-03,1958-06-08,Group Stage,1,0,Northern Ireland,Czechoslovakia,1,0,1,Örjans Vall,Halmstad,Sweden,Sweden,0,0,0,6196.0,0
1958,M-1958-04,1958-06-08,Group Stage,1,0,France,Paraguay,7,3,10,Idrottsparken,Norrköping,Sweden,Sweden,0,0,0,16518.0,0
1958,M-1958-05,1958-06-08,Group Stage,1,0,Yugoslavia,Scotland,1,1,2,Arosvallen,Västerås,Sweden,Sweden,0,0,0,9591.0,0
1958,M-1958-06,1958-06-08,Group Stage,1,0,Hungary,Wales,1,1,2,Jernvallen,Sandviken,Sweden,Sweden,0,0,0,15343.0,0
1958,M-1958-07,1958-06-08,Group Stage,1,0,Brazil,Austria,3,0,3,Rimnersvallen,Uddevalla,Sweden,Sweden,0,0,0,17788.0,0
1958,M-1958-08,1958-06-08,Group Stage,1,0,Soviet Union,England,2,2,4,Ullevi,Gothenburg,Sweden,Sweden,0,0,0,23182.0,0
1958,M-1958-09,1958-06-11,Group Stage,1,0,Argentina,Northern Ireland,3,1,4,Örjans Vall,Halmstad,Sweden,Sweden,0,0,0,14174.0,0
1958,M-1958-10,1958-06-11,Group Stage,1,0,West Germany,Czechoslovakia,2,2,4,Olympia,Helsingborg,Sweden,Sweden,0,0,0,25000.0,0
